	10CA_S168pdamsymd.sam.counts	10CL_S148pdamsymd.sam.counts	10NA_S169pdamsymd.sam.counts	10NL_S149pdamsymd.sam.counts	1CA_S150pdamsymd.sam.counts	1NA_S151pdamsymd.sam.counts	1NL_S136pdamsymd.sam.counts	2CA_S152pdamsymd.sam.counts	2NA_S153pdamsymd.sam.counts	3CA_S154pdamsymd.sam.counts	3CL_S137pdamsymd.sam.counts	3NA_S155pdamsymd.sam.counts	3NL_S138pdamsymd.sam.counts	4CA_S156pdamsymd.sam.counts	4CL_S139pdamsymd.sam.counts	4NA_S157pdamsymd.sam.counts	5CA_S158pdamsymd.sam.counts	5CL_S140pdamsymd.sam.counts	5NA_S159pdamsymd.sam.counts	6CA_S160pdamsymd.sam.counts	6CL_S141pdamsymd.sam.counts	6NA_S161pdamsymd.sam.counts	6NL_S142pdamsymd.sam.counts	7CA_S162pdamsymd.sam.counts	7CL_S143pdamsymd.sam.counts	7NA_S163pdamsymd.sam.counts	8CA_S164pdamsymd.sam.counts	8CL_S144pdamsymd.sam.counts	8NA_S165pdamsymd.sam.counts	8NL_S145pdamsymd.sam.counts	9CA_S166pdamsymd.sam.counts	9CL_S146pdamsymd.sam.counts	9NA_S167pdamsymd.sam.counts	9NL_S147pdamsymd.sam.counts	
isogroup00000022	11	33	10	18	12	10	28	17	3	8	26	10	30	8	23	13	5	27	9	15	24	13	21	4	23	16	17	16	7	21	18	18	13	33	
isogroup00000023	8	34	15	14	13	14	15	23	10	9	17	9	23	11	30	21	7	20	8	20	21	13	19	4	19	16	15	18	12	12	7	33	25	34	
isogroup00000024	36	13	42	7	19	48	3	47	37	22	2	31	7	25	6	31	30	11	33	41	9	35	5	22	1	36	58	12	29	9	31	3	38	1	
isogroup00000025	6	5	8	9	11	6	3	6	5	5	2	5	17	7	10	7	4	12	8	7	10	2	9	5	9	10	10	11	3	4	7	7	9	1	
isogroup00000026	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup00000027	245	259	210	285	231	243	209	299	257	242	211	248	309	162	245	256	227	263	216	257	272	194	297	184	212	287	308	323	248	234	189	247	197	205	
isogroup00000028	6	1	5	3	2	0	1	2	0	2	2	6	2	2	2	6	5	4	2	0	1	2	0	1	1	2	2	0	0	0	3	2	2	1	
isogroup00000029	2	2	2	1	2	7	3	4	2	1	5	5	4	2	3	2	3	2	1	4	2	4	5	2	0	6	4	5	2	4	5	0	3	3	
isogroup00000030	28	42	31	46	25	22	30	41	17	24	22	14	46	20	50	42	20	34	21	31	35	15	46	12	27	37	45	74	24	58	25	29	17	26	
isogroup00000031	1	6	0	7	1	0	1	0	0	1	5	1	7	1	7	1	1	3	2	0	2	1	5	1	1	1	0	1	0	1	2	5	2	7	
isogroup00000032	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000033	3	2	3	6	6	3	2	2	0	2	4	6	4	6	3	6	9	5	3	10	3	6	3	2	2	10	8	6	3	4	4	7	6	2	
isogroup00000035	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000037	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
isogroup00000038	6	1	1	1	2	2	1	6	5	4	1	2	0	1	0	1	2	2	0	4	0	3	2	0	0	8	1	1	2	1	1	3	3	2	
isogroup00000039	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup00000041	2	18	0	9	2	0	9	0	1	1	10	2	12	2	10	11	0	8	3	0	10	2	7	1	3	2	4	8	4	1	3	2	3	12	
isogroup00000042	74	6	62	8	51	41	6	80	33	79	5	37	6	70	4	41	69	7	35	88	7	37	7	51	3	90	44	5	35	12	38	8	74	5	
isogroup00000043	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup00000044	5	8	3	11	6	9	11	2	4	9	4	1	7	0	10	3	1	10	10	5	9	3	10	1	8	3	2	10	5	9	4	6	7	2	
isogroup00000045	53	54	68	57	67	55	21	53	36	50	47	72	53	59	48	76	59	58	66	47	45	70	44	35	42	54	58	28	51	43	63	48	80	47	
isogroup00000046	33	13	27	15	32	57	16	50	39	29	11	36	13	26	7	35	45	17	27	25	10	18	14	25	10	50	51	30	43	8	32	8	32	10	
isogroup00000047	2	0	0	0	2	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	2	0	0	0	0	2	0	1	0	0	1	2	0	
isogroup00000048	0	0	1	0	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	3	0	1	0	1	0	2	0	
isogroup00000049	0	23	0	49	3	3	21	1	0	0	30	0	38	0	44	1	0	35	0	0	33	0	41	1	28	0	0	28	0	32	0	25	0	8	
isogroup00000050	0	1	0	2	0	1	1	1	0	0	3	1	2	0	0	0	0	3	0	0	3	0	2	0	1	0	1	0	0	4	0	1	0	3	
isogroup00000051	8	15	7	18	14	6	21	2	6	10	23	6	24	9	27	7	10	24	6	10	24	5	23	7	18	6	10	13	11	21	10	26	9	23	
isogroup00000052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	
isogroup00000053	7	5	9	8	6	7	8	13	10	6	5	3	9	7	4	4	7	6	9	10	3	9	9	4	0	16	5	1	2	5	9	5	6	5	
isogroup00000054	63	49	64	80	60	58	48	56	35	40	48	28	78	43	65	66	42	54	37	64	67	46	79	36	56	68	76	55	60	47	43	49	49	41	
isogroup00000055	1	0	0	0	2	13	0	0	3	1	0	1	0	1	0	3	2	0	1	0	0	1	0	0	0	0	4	0	3	0	1	0	1	0	
isogroup00000056	72	111	61	117	82	75	94	65	27	48	55	50	87	50	89	66	69	122	51	73	94	65	92	35	81	98	70	94	65	112	67	65	66	74	
isogroup00000057	184	24	178	10	184	219	7	94	79	174	6	188	12	166	11	190	167	10	158	186	11	155	11	119	11	232	317	15	212	21	204	10	215	14	
isogroup00000058	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup00000061	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	2	0	0	1	0	0	0	1	0	0	0	0	0	
isogroup00000062	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup00000063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup00000064	20	20	15	30	24	16	15	15	13	18	13	18	28	11	19	17	15	17	13	21	11	17	18	14	16	23	21	24	25	13	8	12	24	13	
isogroup00000065	68	64	52	42	67	72	44	67	65	44	48	66	50	58	51	67	65	56	51	59	59	49	48	44	53	76	68	51	62	38	47	40	50	50	
isogroup00000066	1	0	3	0	5	3	0	1	1	0	0	1	0	2	0	6	2	1	2	1	0	4	0	0	0	1	3	1	7	1	3	0	2	0	
isogroup00000067	2	0	0	1	3	0	1	0	0	0	1	1	0	0	0	1	0	0	2	2	1	1	0	1	1	1	2	0	0	1	0	0	2	0	
isogroup00000069	21	2	19	0	26	12	0	27	12	14	0	10	1	10	1	22	15	1	12	13	1	13	1	3	1	22	13	1	20	2	9	0	17	0	
isogroup00000070	89	37	93	26	88	87	36	84	35	53	37	51	37	59	38	70	58	51	66	79	41	66	30	45	40	85	82	22	65	37	72	37	89	36	
isogroup00000072	1	0	0	1	1	1	0	1	0	2	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	8	0	8	0	2	0	1	0	
isogroup00000073	4	5	4	1	2	0	4	1	1	1	3	0	5	1	7	3	1	4	2	5	4	1	2	2	3	3	1	4	2	2	7	4	5	4	
isogroup00000074	27	24	33	30	29	23	22	15	4	23	28	15	28	33	23	26	28	36	20	24	29	27	21	15	30	33	24	22	24	27	30	26	48	16	
isogroup00000075	17	22	15	15	10	12	2	6	10	11	17	10	25	12	13	17	15	18	15	17	10	8	15	11	11	26	19	31	17	18	9	20	12	10	
isogroup00000076	1	0	3	3	0	8	1	13	4	5	3	3	0	4	6	2	3	5	5	4	2	2	1	3	3	5	2	1	2	3	1	2	2	1	
isogroup00000078	2	1	2	0	6	0	0	2	0	1	1	2	0	1	0	7	1	0	0	3	0	3	1	1	0	1	13	0	9	0	3	0	1	0	
isogroup00000079	20	1	12	0	19	25	0	19	12	19	0	14	0	5	0	38	10	0	4	14	1	13	0	20	1	22	32	0	44	2	7	0	19	1	
isogroup00000080	5	11	8	6	15	10	8	14	13	4	4	3	5	7	3	4	4	4	7	5	3	3	3	1	6	8	10	12	12	13	5	8	11	9	
isogroup00000081	58	20	44	33	44	51	16	49	30	36	25	45	34	48	16	42	45	37	37	41	26	54	42	44	23	57	54	30	39	26	47	24	63	17	
isogroup00000082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000083	186	1	93	1	64	303	0	460	449	151	1	98	0	127	2	108	177	1	59	185	2	66	1	136	0	372	132	1	94	2	72	4	87	2	
isogroup00000084	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000086	2	2	7	1	3	6	1	1	3	1	2	4	1	0	1	6	0	1	6	5	0	1	4	3	3	4	3	1	4	1	4	1	6	5	
isogroup00000087	281	3	222	3	168	246	3	373	447	270	2	226	2	213	0	223	242	2	182	284	1	112	0	285	2	506	340	3	286	1	169	2	214	3	
isogroup00000088	179	3	125	2	92	280	2	387	507	213	0	132	0	133	1	109	189	0	82	198	2	66	1	230	1	435	191	2	126	1	76	1	128	0	
isogroup00000089	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	
isogroup00000090	0	3	1	0	0	1	1	1	0	0	3	2	4	2	0	2	2	0	3	1	1	1	1	1	1	0	1	3	1	1	5	2	0	1	
isogroup00000091	0	0	0	0	2	1	0	0	0	0	3	0	2	2	1	0	0	0	0	0	0	0	1	1	0	1	0	3	0	2	2	1	2	2	
isogroup00000092	3	10	3	0	8	3	1	0	3	1	4	1	8	1	3	1	3	2	1	1	1	3	4	2	3	0	4	6	3	13	10	4	4	2	
isogroup00000093	35	50	46	45	43	40	26	50	35	34	42	37	42	38	59	45	49	49	38	32	37	43	45	23	37	58	48	37	38	23	44	39	56	41	
isogroup00000094	59	13	68	15	83	81	11	79	123	113	10	118	11	74	21	61	126	17	88	70	16	72	7	80	11	120	77	13	84	20	62	11	78	18	
isogroup00000095	22	25	25	33	18	27	13	13	13	16	22	13	23	33	27	28	18	29	23	22	24	20	27	6	17	17	19	25	15	30	30	19	21	24	
isogroup00000096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000097	7	11	13	12	11	12	14	18	8	10	4	12	3	7	9	10	5	6	5	9	5	3	8	8	15	19	16	9	9	7	9	10	10	2	
isogroup00000098	1	0	1	0	1	3	1	5	2	1	0	2	0	1	1	0	1	0	2	2	0	0	0	4	2	1	2	2	2	0	3	1	1	0	
isogroup00000099	75	32	37	30	38	66	40	30	20	39	29	38	36	44	35	38	53	39	37	40	31	27	24	19	17	58	51	17	24	16	37	25	59	21	
isogroup00000100	1	2	0	1	0	2	3	1	0	0	1	0	2	2	2	1	1	2	0	0	4	0	4	0	0	0	0	3	0	2	2	6	2	3	
isogroup00000101	9	5	6	4	9	8	9	15	7	17	6	7	9	12	9	7	10	8	13	10	2	7	3	9	5	7	17	3	6	1	4	8	13	8	
isogroup00000102	54	2	82	1	31	37	0	212	124	122	35	92	13	79	113	124	44	3	29	42	10	45	0	52	4	138	241	0	89	5	61	0	34	0	
isogroup00000104	16	4	14	11	18	12	10	50	47	8	4	13	15	7	7	15	10	11	7	16	15	10	4	6	8	8	18	4	12	5	5	5	18	1	
isogroup00000105	5	1	4	0	5	8	0	13	13	4	1	4	2	2	0	5	7	0	4	7	0	4	1	5	1	11	8	0	9	1	5	3	4	1	
isogroup00000106	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	2	0	0	1	0	1	0	0	0	1	2	1	0	2	1	0	2	0	
isogroup00000107	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	3	0	
isogroup00000110	134	10	148	13	99	135	10	321	218	113	16	99	12	111	25	139	91	19	86	124	15	108	12	68	10	138	126	14	111	12	95	15	132	10	
isogroup00000112	0	3	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	0	0	3	
isogroup00000113	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	1	0	
isogroup00000114	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	2	1	0	1	0	1	0	1	0	
isogroup00000115	15	7	6	11	8	7	3	9	0	8	5	6	4	7	8	12	11	9	6	13	12	7	7	5	11	9	11	2	11	5	7	11	14	5	
isogroup00000116	298	732	193	905	206	221	592	207	205	202	523	175	977	133	773	260	254	961	223	303	825	137	811	226	805	255	345	853	292	752	148	555	148	472	
isogroup00000117	152	45	153	45	128	123	29	212	212	274	27	171	48	158	42	79	205	31	107	190	27	70	42	90	17	258	116	26	104	40	116	32	150	28	
isogroup00000118	71	55	59	59	65	68	29	51	48	55	35	71	50	54	31	63	58	48	66	61	55	56	55	63	42	76	74	43	56	27	74	34	71	42	
isogroup00000119	5	2	4	3	9	6	0	5	7	4	3	6	3	7	1	7	7	1	3	3	1	4	3	5	2	4	9	2	9	2	2	4	3	2	
isogroup00000120	15	5	7	8	12	7	4	13	7	7	7	11	5	19	9	5	9	3	12	12	7	11	3	9	11	15	12	13	5	2	11	6	12	4	
isogroup00000121	1	4	1	6	2	1	7	1	0	0	7	1	3	1	5	2	1	4	1	1	6	4	5	3	6	0	0	10	0	5	3	8	1	3	
isogroup00000122	0	2	0	2	2	0	0	1	0	1	1	0	2	0	0	0	0	1	0	1	0	0	1	0	2	0	0	1	1	1	1	0	0	1	
isogroup00000123	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup00000124	3	3	3	2	2	2	4	0	0	2	4	1	1	2	0	3	3	2	3	4	1	1	5	2	10	0	2	2	3	5	5	3	1	3	
isogroup00000125	1	0	3	4	4	7	1	3	1	3	4	0	1	6	3	2	2	2	3	0	3	3	2	0	2	1	1	3	5	3	6	0	2	1	
isogroup00000126	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000127	56	59	74	75	72	66	51	82	66	64	65	54	82	78	59	63	73	70	46	78	62	55	57	39	52	95	70	47	62	52	50	57	78	54	
isogroup00000128	0	9	0	3	0	0	0	0	0	0	3	0	3	0	2	0	0	4	0	0	1	0	3	0	0	0	0	0	0	1	0	1	0	5	
isogroup00000129	0	6	0	1	0	0	2	2	0	0	0	0	5	1	1	0	0	2	1	0	1	0	1	0	2	0	0	4	0	1	0	2	0	2	
isogroup00000130	0	5	1	3	1	2	0	2	0	0	2	0	5	0	2	0	0	0	0	0	2	0	2	0	0	0	2	4	1	8	0	5	1	1	
isogroup00000131	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup00000132	148	165	182	215	194	146	130	130	64	147	138	136	201	148	199	138	190	196	123	184	150	135	196	98	171	235	170	159	125	108	123	167	223	140	
isogroup00000133	44	130	44	173	58	55	96	82	39	49	90	39	149	41	125	50	52	145	39	66	133	40	142	28	131	57	80	125	58	143	45	91	55	83	
isogroup00000134	1	0	0	0	2	1	1	0	0	0	0	1	5	5	0	0	1	0	0	1	3	1	1	0	1	0	2	1	0	0	3	0	3	0	
isogroup00000135	56	15	60	26	48	69	7	101	73	114	11	56	19	58	22	49	59	22	37	85	27	42	16	34	13	99	79	17	73	14	37	14	26	25	
isogroup00000136	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup00000137	1	1	2	1	1	0	0	1	0	2	2	0	0	1	1	0	4	1	0	4	2	0	1	2	0	6	0	2	0	1	1	2	2	2	
isogroup00000138	28	82	33	105	58	27	85	14	8	21	58	16	76	24	91	14	17	138	30	31	84	33	78	13	94	36	25	82	21	66	20	63	29	52	
isogroup00000139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup00000140	16	68	5	93	5	8	42	3	5	8	50	13	54	4	48	6	15	79	8	8	75	5	87	3	51	12	2	36	7	48	15	49	7	54	
isogroup00000141	1	21	3	28	2	2	13	0	2	1	13	2	24	1	17	1	3	23	0	0	23	1	28	0	14	2	0	23	0	25	3	20	1	16	
isogroup00000142	71	5	195	1	225	125	1	305	126	96	0	164	0	75	2	91	58	0	71	66	0	127	0	52	1	173	122	2	121	1	96	1	161	3	
isogroup00000143	274	1	142	0	95	121	0	28	60	93	2	163	0	33	1	77	185	0	56	114	0	37	0	124	0	216	84	1	28	0	60	1	40	0	
isogroup00000144	6	0	3	0	0	1	0	0	1	1	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup00000145	70	1	64	2	108	44	1	11	11	15	0	62	0	24	0	101	56	0	35	43	1	23	0	48	0	55	58	0	33	1	41	3	16	2	
isogroup00000146	8	0	7	0	23	7	1	10	9	12	0	11	0	8	0	28	11	0	7	8	0	7	0	10	0	12	18	1	15	1	9	0	12	0	
isogroup00000147	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
isogroup00000148	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000149	44	80	63	108	102	50	58	43	24	48	56	41	89	60	66	66	42	90	33	69	105	37	86	51	51	64	79	78	57	52	58	54	72	63	
isogroup00000150	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	1	1	
isogroup00000151	2	49	2	25	3	3	29	0	0	0	30	2	28	2	12	0	1	8	0	1	23	0	10	0	4	0	1	16	0	13	1	17	1	43	
isogroup00000152	8	13	2	12	3	2	7	6	1	2	16	3	7	5	15	2	1	15	3	0	9	2	11	1	10	3	3	19	5	15	1	3	1	16	
isogroup00000153	1	3	0	1	1	1	1	3	0	4	2	0	1	3	4	0	0	3	3	1	4	2	1	2	1	3	0	2	5	1	0	4	0	3	
isogroup00000154	5	5	5	8	4	4	2	8	1	7	4	7	2	5	9	0	5	5	2	4	5	0	5	3	3	11	8	7	9	4	4	3	3	5	
isogroup00000155	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	1	0	
isogroup00000156	48	55	69	72	56	54	74	50	33	50	59	52	72	51	80	85	68	73	49	57	71	55	69	31	61	71	79	62	66	67	64	40	69	61	
isogroup00000157	137	29	178	32	88	137	22	115	66	247	20	171	34	179	33	95	122	30	112	160	54	187	25	85	18	172	111	14	88	19	149	32	181	29	
isogroup00000158	18	21	20	14	31	33	14	56	29	15	14	20	23	18	24	29	14	17	17	23	23	32	20	9	22	30	44	48	35	43	29	17	22	15	
isogroup00000159	7	9	8	9	7	15	6	12	4	12	11	4	13	5	12	8	5	11	7	8	8	2	3	9	13	13	12	7	6	9	4	9	16	9	
isogroup00000160	18	14	31	25	18	24	11	31	24	19	12	10	19	27	18	23	11	26	17	22	15	16	20	20	14	28	25	18	22	16	24	14	22	13	
isogroup00000161	12	10	19	19	15	17	7	23	12	9	11	11	11	11	7	14	11	18	11	11	10	10	6	11	8	14	17	6	9	9	5	11	24	12	
isogroup00000162	18	8	15	13	8	12	5	31	7	6	10	5	9	9	9	11	12	7	13	16	13	6	4	7	6	12	16	5	9	9	7	12	7	6	
isogroup00000163	60	60	86	60	78	97	40	97	79	108	44	129	41	64	52	60	76	54	74	56	55	67	60	51	43	73	86	44	80	38	63	49	74	42	
isogroup00000164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup00000165	145	285	153	232	174	168	206	174	102	133	187	130	245	120	204	168	129	234	144	149	226	150	234	103	207	189	177	232	174	177	143	189	187	270	
isogroup00000166	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000167	244	367	248	455	205	165	259	218	103	176	251	147	379	253	337	200	175	414	188	229	386	172	364	117	337	300	168	322	188	259	196	333	223	264	
isogroup00000168	48	69	48	65	68	57	37	61	16	54	49	48	41	54	35	53	44	42	48	60	40	54	48	28	48	61	58	43	35	32	43	27	38	70	
isogroup00000170	4	14	8	5	5	7	8	9	9	12	8	11	12	4	7	5	7	4	2	9	6	6	4	3	6	5	6	7	0	8	3	3	9	17	
isogroup00000171	101	114	112	149	122	112	91	145	97	77	125	78	156	73	133	105	72	134	70	90	141	92	133	78	146	116	113	127	102	118	82	117	105	107	
isogroup00000172	78	64	59	64	35	50	65	83	47	34	55	29	69	42	68	30	39	77	32	47	62	42	71	32	84	69	51	69	30	74	43	62	49	56	
isogroup00000174	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	
isogroup00000175	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
isogroup00000176	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000177	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	0	0	
isogroup00000178	2	0	1	0	2	8	0	0	3	3	0	0	0	1	2	1	2	0	1	2	0	1	0	2	0	3	0	0	3	0	2	0	1	0	
isogroup00000180	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
